category,tid,bvid,title,desc,pubdate,owner_mid,owner_name,view,danmaku,reply,favorite,coin,share,like,dislike
游戏,171,BV1Ao4y1T7GF,夺命十三枪,"我三岁练枪，那一年枪一上手就人枪合一😎
爱不释手，九岁悟出夺命十三枪😤
于九天之上我斩杀花果山妖猴😠
二十岁我熟读天下枪谱，纵横江湖再无敌手😔
我这一生只有一个敌人，那就是我自己😃
我去问佛问跟韩信是否有缘🤔？
佛说， 你跟韩信无缘😭。
我说求缘，佛说，那你便等上千年😢
在那一千年里，你可知韩信🤕
而韩信却不知有你，你可愿等呐😟？
我答，国服韩信，请战😡。
第一枪！长相思兮长相忆，短相思兮无穷极！
相思！😣
第二枪！相思一夜情多少地角天涯未是长！断肠！😫
眼见为虚，心听为实！
第三枪！盲龙！😵
乾坤一速天",1686200400,381434404,在下小睦,1041713,2153,1735,15113,22513,21435,57516,0
游戏,172,BV13P411Q74r,【空想花庭】HE全关卡 摆完挂机 简单好抄（持续更新中）,"本视频为为懒人向挂机流攻略，不排斥手动开启的技能但少用，遇到难挂机的关卡会选择简单好抄的手动打法，非低配攻略。

视频里默认常用的干员:桃金娘1、德狗2、推王2、拉狗2、山2、棘刺3、煌2、银灰1、克洛丝、能天使13、临光1或者谷米1（需要地面医疗的时候但塞妈已经用了需要再补个奶盾）、塞雷娅12、星熊2（建议开X模组加防御，也可以用年二级模组带2技能替换）、泥岩2、闪灵2、夜莺2、白面鸮2、艾雅法拉2、小火龙2、

难关会多用的干员（不仅这些干员，因为有些关卡比较奇怪会用到一些其他奇奇怪怪的干员）:史尔特",1686213315,31009079,萧然Q,1288273,1874,2036,11933,38167,1618,43645,0
游戏,172,BV1kc41137P7,如果原神是一部卡通系列 | 异世界电玩将军,这不是真的系列，但你想让它变成真的吗？,1686332333,3461577311259436,Simi_n_ChapChap,627683,256,410,24772,8206,4229,101292,0
游戏,17,BV1uP411B7ou,“再怎么厉害的攻击，打不中对手也没有意义吧”,游戏：《匹诺曹的谎言》,1686366000,27717433,原野郎中,758433,3646,1194,9450,19666,1056,69288,0
游戏,172,BV1zz4y1v7r8,《崩坏：星穹铁道》SGF参展视频：「宇宙游戏」,"年轻的「银河冒险玩家」这么说道——
游戏就只是为了游戏，仅此而已！

CV：
银狼——Hanser
三月七——诺亚
驭空——钟可
卢卡——萧翟",1686283200,1340190821,崩坏星穹铁道,898990,1506,3304,9745,12611,3070,105081,0
游戏,17,BV1LP411B7mZ,一定要关好门窗！小心入侵家中的“伪人”,"游戏：Caught On Camera
在itch.io网站搜索
又是温馨小游戏环节！",1686214551,26240675,与山0v0,882727,2272,754,14368,6997,784,53820,0
游戏,171,BV1No4y1T72m,《19岁生日与反甲宣传片》（一周年纪念）,"去年18岁的那天发的第一期宣传片，时间过得真快啊.
今天19岁辣！
81期反甲宣传片，感谢大家的陪伴！
网抑云歌单：“信酱的奇妙歌单”
bgm：《BG》
           《起风了》
           《Hold On 》
           《One Last Kiss × Slow Down (Mashup)》
素材都是直播素菜
制作不易，感谢三连
50w粉女装直播",1686234929,394952984,信酱ya往生堂保安,563708,4387,1396,7774,29247,396,73233,0
游戏,172,BV1DX4y187hk,【原神】这 也 能 进 化2.0？！,采纳上条视频大家的意见，所以才有了这期的2.0,1686110478,228356124,普通的安持,1089579,1668,824,12187,3902,4904,93329,0
游戏,172,BV1Ag4y1F7i1,《奥拉星2》手游首曝宣传片——Hi! 你知道亚比吗？,"★首曝PV正式发布，全网预约现已开启★
亲爱的小奥拉早上好，今日天气晴，气温适宜体感舒适，外出请注意防晒。
您有一条待读通知：请尽快与亚比伙伴一起前往集合点开启冒险！
已为您推荐最佳路线，您所前往的片区传送门已检修完成，稳定率为99.9%。
请您享受本次冒险之旅！
B站预约链接：https://www.biligame.com/detail/?id=110590",1686189600,1748347861,奥拉星2手游,1544904,1264,4130,23117,29179,9545,57510,0
游戏,17,BV1R14y1U7yC,【散人】无敌大杂烩坑爹i wanna 满满都是回忆,I Wanna  The Maker Medley。许久不见，有观众私信说高考完想看欢乐i wanna，必须满足！希望大家看的开心。,1686304800,168598,逍遥散人,471945,6806,1274,12970,27500,780,57135,0
游戏,172,BV1Ju411Y722,【原神】神工天巧还能这样玩？！,"神工天巧可以放怪确实非常好玩，最后的码是8706157541（有有趣的知识或者机制可以私信分享秋名山，非常感谢！）

每周二四六更新

粉丝群：285270644",1686200138,351170066,ulu秋名山,1372737,582,1078,14678,1609,3676,62465,0
游戏,172,BV1aj411Q75f,八重神子真好玩～,-,1686133022,1306471418,潮汐的原神小日常,1300974,230,694,27490,2708,4109,129269,0
游戏,171,BV16c411u76M,EDG《ELOG》丨你好，新来的朋友！,"梦想是纯粹的，就终将会实现! 
新来的朋友，未来E起加油！
EDG.Uzi加油！",1686405645,31536760,EDG电子竞技俱乐部,1082742,2172,5663,4639,18273,9531,61549,0
游戏,172,BV1ih4y1G76y,原神和崩铁在高考考点外的反诈宣传,-,1686141974,1687539428,小熊的原神资讯,841442,1262,3575,9613,922,7486,105061,0
游戏,17,BV1bs4y1v7ZZ,我的世界都市传说挑战：让我看看谁能把视频看完！,,1686217969,480363051,渣渣辉TD,542872,2536,1491,36949,1946,52,14790,0
游戏,172,BV1gP411Q7ae,【明日方舟】疯女人一战圣约送葬人！,"由于B站推送缘故，长视频数据受限会比较厉害，所以不得不拆成几期视频发布，希望大家可以理解！
这次抽卡也出了不少血，希望大家能多多点赞三连，关注我不错过下一期~",1686214027,49631892,月隐空夜,552322,4219,3923,3492,16951,2759,46319,0
游戏,172,BV13M4y1Y7Lf,原神3.7 神工天巧 5分钟18个成就 210原石,太猛了~无情的成就刷取机器,1686221514,551564201,鲑柒,510416,168,1311,40828,16009,12625,33140,0
游戏,65,BV1ru411W7Xq,【实机演示】全新流派潮光来袭，温柔抬手给你暴力一击！,今天就为大家带来潮光实机演示，让我们一起下潜至深邃幽静的海底，近距离观摩战斗力爆表的潮光，是如何在“涟漪”“水剑”双重形态间自由切换，展现以水化万物的无上神力吧！,1686369600,21619102,网易逆水寒,611419,2043,1124,12848,7407,5944,36820,0
游戏,17,BV1Ps4y1v7Le,[ 高 考 尖 塔 ] 选择你的遗物,祝2023届的考生一帆风顺喵！,1686143558,335144135,超帕味棉花糖,556579,2496,921,11304,3771,5841,44475,0
游戏,17,BV1P14y1Q7CN,谁是杀手 5 ？！！,"地图推荐：@北极熊IceBear 

喜欢的记得三三三三三三三三~~~~~连连连连连连连连~~~~噢噢噢噢噢噢噢噢哦哦哦哦哦哦~~~~~",1686182400,108078209,沝沝DjKO,559063,2541,565,7934,14740,322,61543,0
游戏,173,BV1QW4y1X7wC,【逗鱼时刻】第396期 不想当解说的主办方不是好选手,"天天卡牌出品 《逗鱼时刻》每周五（四）更新 
微博@逗鱼时刻 微信公众号:ttkapai
炉石投稿邮箱:ttkapai@qq.com
商务合作邮箱:ttkapai_hz@163.com
粉丝扣扣大本营一号：112678056",1686215951,10462362,天天卡牌,620597,2824,660,3066,16011,771,40493,0
游戏,172,BV13m4y1q7Ek,【崩坏 星穹铁道】银狼最清晰攻略 如何养成/配队才更强？,"视频中角色的配装：
银狼：80级，量子四件套，泛银河商业公司，雨一直下，暴击躯干，速度鞋子，量子球，充能绳子（如无特别说明）
希儿：80级，量子四件套，太空封印站，于夜色中，暴击躯干，速度鞋子，量子球，攻击绳子",1686130595,1438375628,粥粥的终极理解,615287,1930,2438,14879,52872,2949,50846,0
游戏,17,BV1Nm4y1v72z,啊？13.0,"这期视频非常好看！看完了不要忘了爪巴
此视频献给我仅有的1,538,087位粉丝",1686379220,19525533,KL_qiqi_,456130,3095,805,5871,8855,646,55064,0
游戏,172,BV1Js4y1v7Ld,热烈的人,-,1686229244,613636494,落窜窜,1421810,217,321,6865,433,961,59303,0
游戏,172,BV1c14y1Q769,久违的恶战，逆转大局！b站火影up最强集结！第一届up邀请赛正式开战！,-,1686193393,38568774,鬼叔黍,620225,1748,1087,4563,4665,729,40442,0
游戏,172,BV1qz4y1v7uW,"【明日方舟】""空想花庭”HE-1~8摆完挂机全关卡攻略(含EX)！操作轻松+语音详解的愉悦攻略！《明日方舟》|魔法Zc目录","Zc会先更新高配挂机流，而第二天中午再更新低配平民打法
本篇为魔法Zc目录制作的：《明日方舟》新活动“空想花庭”HE关卡合集的高配攻略，以轻松通关为最高追求，为大家提供挂机或半挂机（广义挂机流）攻略打法，包含了关卡中具有挑战性的关卡攻略，尽量使用常见的六星角色，提供一套容易理解、便于凑出的高配挂机阵容。
本攻略以清晰的思路、详细的讲解为大家认真解读新的关卡，漫谈各种乐趣，无论你是新玩家，还是老牌高手，甚至不玩明日方舟的朋友，都可以从视频中感受到快乐。
关卡开放不久，打法未必完美，如果视频中",1686212083,13164144,魔法Zc目录,685180,1148,1588,4958,10082,687,28236,0
游戏,65,BV1xm4y1q76p,原来银狼也会歪呀哈哈哈,-,1686200504,1319959848,雅风钟爱纳西妲,655169,286,1460,9017,661,4651,88213,0
游戏,171,BV1jm4y1q7ky,超越时间的补刀！四打五也能翻盘？这就是电刀佐伊的魅力！,-,1686138832,243771510,佐神-核弹流佐伊,974870,524,693,2295,1337,1059,51211,0
游戏,172,BV1Yo4y1E73y,片 名 为 寄  2,听群友说，关注我之后，都歪我头上了。,1686214621,312760509,名字就叫大梦一场,451987,1174,1362,2608,7835,1281,56122,0
游戏,17,BV1Po4y1T7xy,破天荒的新史低！！庆祝1000万销量，这款神作在绷了3年后终于肯降价了？！【本周steam史低游戏推荐】6.9-6.16,"本期量大管饱，包您满意
不仅有大作也有我个人很喜欢的精致小游戏
并且也重启了上方的倒计时，希望大家动动伟大的手指，记得关注点赞投币

顺便祝各位高考的小伙伴狠狠地超常发挥，都能拿到自己想不到的超高分！",1686301977,4186021,初夏ChuXXia,703680,1943,971,4273,4188,1043,33764,0
游戏,65,BV19W4y1X76o,“兄弟要不当场磕一个吧，这就是钻石的队友！”共享账号挑战！#31,今日冲击钻二，各位备战席将军，请先用自己的账号在训练场调试好直播姬，直播姬左下角》直播设置》视频》自定义，左下角滚动条拉到底，6000码率60帧，如果帧数低于120就改4000码率30帧，调试好后用自己手机观看自己直播间是否卡顿是否有声音，配置过低不建议参与，为后面上场的将军多留点时间,1686280915,37946996,守护茶茶,572920,1229,955,1912,6192,230,47766,0
游戏,17,BV1uc41137nC,这32秒花了我32秒,这是简介,1685887326,668808198,Na_ts,697105,652,860,24419,40286,1802,141488,0
游戏,17,BV1LM4y1Y76H,Only up！25.41速通！世界第一！第一个跑进25分钟！游戏结束？,今晚记录三连破，首先跑出了26.00！然后跑出了25.59！成为第一个进入25分钟的玩家，最后跑了25.41！感谢我直播间的压力组观众，爱你们，没有你们我破不了！,1686262091,268177610,CF飞机文,675654,4624,2106,3280,11717,1734,27591,0
游戏,17,BV1uc411G7Js,我就没见过那么胆小的向日葵！,游戏名：,1686304800,6496196,花生味花生酱,603145,854,291,4143,1668,293,43002,0
游戏,17,BV1JP411B7gy,当MC里「各种方块」都可以做成超强武器！？,"卡慕因为出差临时被逐出和谐友爱。
于是我们找来了大鸡块来顶班！
（现在找个题材太难啦QAQ）
数据包来源：https://www.planetminecraft.com/data-pack/minecraft-but-blocks-are-weapons/",1686355200,5007752,萝卜吃米洛,437209,1865,484,4960,8560,220,50034,0
游戏,171,BV1rz4y1v7XY,对面掏出聪明石头人，开局就被小兵打残，大G直接笑坏了，18分钟直接推完！,,1686305100,267776898,我才是熊猫大G,669742,1638,415,1589,2535,525,43880,0
游戏,172,BV1Ph4y1R7Ln,《崩坏：星穹铁道》浮光映影：「新手任务开始前」,"「还有多久开始行动？」
「你居然会问我这个…是新人出什么事了？」
「没有。」
「虽然艾利欧招揽她是因为别的原因，但她至少得活得过新手任务。」
「她很轻松。」
「那我放心了。看来阿刃也已经是非常靠谱的前辈了。」
「……」",1686200400,3493120220071960,星穹铁道小呜呜,498075,220,986,12559,2945,1701,78334,0
游戏,172,BV1xN411y7dn,《我真该死啊》,,1686196800,1763330808,暴躁浩然_有趣的浩然,613465,238,1444,3703,4662,1876,68305,0
游戏,17,BV1914y1U7E4,地平线5怎么做到以假乱真 逼真到截图发朋友圈都没人发现是游戏？,,1686364850,536310775,小民单机游戏,963650,489,1009,8686,368,321,59422,0
游戏,65,BV1wV4y1S7Wn,给不认识我的明星送签名照，她居然。。,"大家人真的很好，这波血赚！
最后一次女装。。
无畏契约封测来了，霓虹准备就绪！",1686283200,19642758,力元君,550595,2421,810,2389,5668,777,43254,0
游戏,172,BV1xj411Q7op,《原神》自建秘境万叶一人完成5个成就，总计175原石,-,1686299201,356187083,紫魂丨原神,371293,82,361,34382,3403,2771,40593,0
